taskType,taskName,dueDate
processApplication,Process Application,2025-10-6T16:41:53.158+0100
followUpOverdueRespondentEvidence,Follow Up Overdue Respondent Evidence,2025-09-14T15:41:53.158+0100
validateMandatoryTaskAttributesDuringInitiation,Validate Mandatory Task Attributes During Initiation,2025-09-14T14:41:53.158+0100
validateMandatoryTaskAttributesDuringReconfiguration,Validate Mandatory Task Attributes During Reconfiguration,2025-09-14T17:41:53.158+0100
taskAttributesWithDefaultValue,Task Attributes With Default Value,2025-09-14T18:41:53.158+0100
reviewSpecificAccessRequestAdmin,Review Specific Access Request Admin,2025-09-14T19:41:53.158+0100
reviewSpecificAccessRequestJudiciary,Review Specific Access Request Judiciary,2025-09-14T20:41:53.158+0100
followUpOverdue,Follow Up Overdue,2025-09-14T21:41:53.158+0100
decideOnTimeExtension,Decide On Time Extension,2025-09-14T13:41:53.158+0100
checkFeeStatus,Check Fee Status,2025-09-14T12:41:53.158+0100
calculateDueDate,Calculate Due Date,2025-09-14T12:41:53.158+0100
endToEndTask,End To End Task,2025-09-14T10:41:53.158+0100
inspectAppeal,Inspect Appeal,2025-09-14T09:41:53.158+0100